183,That '90s Show,10/01/2022,"Alex Scordelis
Ryan Adlaf
Aaron Olson
Steven Hyden",Billboard's Alternative Airplay,"A TC head breaks a major NBA scandal, crotchety old man Neil Young, horse meat sashimi, Alice in Chains' Dirt, Pearl Jam, and Pitchfork's ""Best Albums of the 1990s""."
184,Coffee in Japan,10/15/2022,Peter Gill,1991,"Dean & DeLuca, Erewhon Market, Tully's Coffee, clam chowder hot dogs, lobster fishing, and the band 2nd Grade."
185,Big League Baio,10/29/2022,Chris Baio,1980,"Harrison Bader and the New York Yankees, advanced baseball metrics, and filmmaker Todd Field's role in the creation of Big League Chew bubble gum."
186,Chameleons and Cheesecake,11/12/2022,—,1986,"Jake gets COVID at the Cheesecake Factory, Bob Dylan's The Philosophy of Modern Song, Bobby Darin, the Sunday scaries, and Ween."
187,Desert Weirdness,11/26/2022,Katy Davidson,Grammy Award for Best Rock Performance nominees,"Mountain Brews beer, Cherry Garcia ice cream, Steely Dan's ""Deacon Blues"", Grammy voting and the bias of alphabetization, and what makes the desert so weird."
188,Hoodwink’d Holidays,12/10/2022,—,Ezra and Jake's most streamed songs of 2022,"The lack of new Christmas songs in the 21st century, Christmas in Japan, and Hoodwink's ""Boom!"" and Boomer disillusionment."
189,Popchip Away,03/04/2023,—,1989,"Seinfeld, Impractical Jokers, Jake's net worth, Popcorners and Popchips, Katy Perry singles, the David, and dumpsters."
190,The Banshees of Inishiddily,03/18/2023,—,1990,"Fairport Convention, Las Vegas seating arrangements, The Banshees of Inisherin with texting, ChatGPT summer songs, N.W.A. at the beach, Big Pun, John McEnroe's band, and Miley Cyrus."
191,Dave is Here,04/01/2023,Dave Matthews,—,"Nick's DMB memories, Dave's Killer Bread, South African snacks, Ben & Jerry's, and Dave Matthew's musical influences."
192,The Time Crisis Music Special,04/15/2023,—,1992,"DMB's ""All Along the Watchtower"", Bob Dylan's rider, top guitar riffs of all time, the Ozempic jingle, Eric Clapton's ""Tears in Heaven"", and Bisto Best Gravy Granules."
193,Phish Bowl,04/29/2023,Chris Tomson,1993,"Jonas Brothers' ""Waffle House"", three nights of Phish at the Hollywood Bowl, and ""I love the taste of whipped cream""."
194,Modern Vampires of the Decade,05/13/2023,—,1994,"Dolly Parton's forthcoming rock album, Jake's gold record, scrobbles, Modern Vampires' 10th anniversary, and Jake dislikes '80s music incl. Prince."
195,This Is How Jake Does It,05/27/2023,Rashida Jones,1995 Rock vs. 1995 R&B,"Ezra's laryngitis, fourth-wave ska, 100 Gecs and Ween, Pepsi logo redesign, post-apocalyptic game shows, Jake AMA, Gen X Top 5, Wu-Tang in Hawaii, and ""This Is How We Do It""."
196,Youth and Young Manhood,07/08/2023,Dave Longstreth,—,"Kings of Leon, Oasis reunion, Jean-Michel Jarre, record concert crowds, early recordings: Cartesian Divers, American People, and Ezra childhood collabs and sax solos."
197,Youth & Young Manhood Pt. 2,07/22/2023,"Dave Longstreth
Wes Miles",—,"Radiohead, the Strokes, mid-aughts Total War tour, ""Power Broker"", more early demos: Sophisticuffs, American People, Ra Ra Riot, and Vampire Weekend."
198,TC Goes To The Movies,08/05/2023,—,1998,"Flamin' Hot, ""Bands"" by Andy Prieboy, ""Adia"", and pudding is delicious."
199,We Didn't Start The Summer,08/19/2023,—,1999,"Climate dread, Fireball slushie, Fall Out Boy reworks Billy Joel, Oppenheimer, ""Summer Girls"", Bin Laden, and ""Stroke of Genie-us""."
200,Time Crisis 200,09/02/2023,"Winter
Despot","July 12, 2015","Pumpkin Spice Waluigi, Starbucking abroad, sleeping in cars, Despot pronounces ""orange"", listeners' favorite moments, Oliver Anthony, Zach Bryan and ""Cheerleader""."
201,Guided By Margaritaville,09/16/2023,—,1970,"Jake in Dayton for GbV 40, Morrissey at Culture Club, indie-nostalgia Big Four lineups, Oliver Anthony Music, RIP Jimmy Buffett, and the ""rural purge""."
202,We Will Pod You,09/30/2023,—,1973,"TC joins Apple Podcasts, Queen deep-dive, celebrity pickleball, Isner-Mahut, Grateful Dead demos, atomic Tennessee, and hotel detectives."
203,Tim Crisis,10/14/2023,—,"Mats' ""Tim""","Rolling Stones, Super Bowl halftime show alternatives, Replacements, and Tim Hortons."
204,What's in a Name?,10/28/2023,—,1964,"The Grateful Dead in Man in the High Castle universe, the Rolling Stones, and naming of sports teams."
205,Rock Talk with Carson Mell,11/11/2023,Carson Mell,1968,"Matador Records, Marcy Playground's ""Sex and Candy"", This Band Could Be Your Life, and the J Geils Band."
206,Trad Crisis,11/25/2023,—,Grammy Rock Song Nominations,"""Trad Wave"", Foo Fighters hate, and the Rolling Stones."
207,Fairytale of TC,12/09/2023,—,2023's Most-Played Songs,"Squeeze, William Tell, the Pogues and Shane MacGowan, Guided By Voices, Miami Children's Choir, and Andre 3000's flute album."
208,Gen-X Projectors,02/17/2024,Dave Longstreth,1988,"OGWAU singles, bats, orchestral music, and the debatable improvisational nature of jam bands."
209,The Gift of TC,03/02/2024,Dave Macklovitch,1985,All about gift-giving.
210,The Octopus Forklift,03/16/2024,"Christian Hansen
Zachary Treitz",1991,"""The Fire Inside"", onstage forklift antics, and The Octopus Murders."
211,As the Crew Becomes Classical,03/30/2024,Lance Oppenheim,—,"Day jobs, Korn, Vampire Weekend singles, the Lincoln Tunnel, Spermworld, and ""Give It to Me"" by The J. Geils Band."
212,TC in Austin,04/13/2024,"Despot
Max Weidenfeld
Holly McClarin
Parker
Alexander
Winter",—,"Texas music, OGWAU, ""Peggy O"", six flags, TC trivia, concert reporting, and the total solar eclipse."
213,Sublime Salads,04/27/2024,—,—,"The South, Sublime, the Allman Brothers Band, Baja, Caesar salads, and BTS."
214,Starbucks Lovers,05/11/2024,—,—,Deep dives on Taylor Swift and Nirvana.
215,With Michael Azzerad,05/25/2024,Michael Azerrad,—,Michael Azerrad's experiences in music journalism and his books on Nirvana and '80s indie rock.
216,In the 2000s,06/08/2024,—,—,"The Crisis Crew talk life, jobs, and happiness."
217,In the 2000s (Part 2),06/22/2024,—,—,"Aerosmith, Raising Cane's, and early 2000s indie rock."
218,The Born Identities,07/06/2024,Steven Hyden,—,"Bruce Springsteen's career and influences, Born in the U.S.A., Steve Miller, and Eminem's ""Houdini""."
219,Guided by Summer,07/20/2024,—,—,"Noel Gallagher, Nickelback, the Crew's summer songs, ""Pancho and Lefty"", and Elvis Costello."
220,Mr. Flamin' Hot,08/03/2024,—,—,"Gatorade, university patents, Richard Montañez's legacy, ""Mr. Brightside"", and performing covers."
221,Frickin' Random,08/17/2024,—,—,"The Crew dive into King Gizzard and the Lizard Wizard, Weezer, Built to Spill, and Ween."
222,Coffee and Airplanes,08/31/2024,—,1975,"Starbucks CEOs, 12oz. of hot black coffee, ""Bette Davis Eyes"", the Olympics, and songs of the summer."
223,An Alaskan Oasis,09/14/2024,Winter,—,"The rainbow wheel of death, truffle fries, global Starbucking, and post-Morning Glory Oasis tracks."
224,French Words and Fake Zombies,09/28/2024,Daniel Ralston,1969,"F.R. David's ""Words"", the Hollies' ""Long Cool Woman"", the Zombies, Archie, and the sounds of '69."
225,The TC Seafood Special,10/12/2024,—,Top Five Seafood Songs,"Salt Life, Red Lobster and Ultimate Endless Shrimp, indoor shrimp farming, and seafood songs."
226,Scenes from a Utah Soda Shop,10/26/2024,Despot,—,"Dirty soda, raw-dogging flights, Vampire's Little Weekend, and Billy Joel's The Stranger."
227,Rock Talk with David Chase,11/09/2024,"Hannah Fidell
David Chase",—,"The Crew talk to ""the Bob Dylan of television"" about classic rock, The Sopranos, and spirituality."
228,Quincy,11/23/2024,—,—,A musical journey through the career of renowned record producer Quincy Jones.
229,Phil Brings the Boom!,12/07/2024,"Phil Elverum
Max Weidenfeld",—,"Football and music, Mount Eerie, the Grateful Dead, and A.J., Big Justice, and The Rizzler."
230,Oops...All Music,12/21/2024,Cazzie David,—,Seinfeld2000 hosts alone and can't get in touch with Dua Lipa.
231,TimeCrisis2025,02/15/2025,—,—,"The Eaton Fire, ""Is That All There Is?"", new Starbucks policies, and libraries without the books."
232,Poetry Talk,03/01/2025,—,—,"The guys tackle Robert Frost, coffee, and Grateful Dead."
233,TC Music Boyz,03/15/2025,—,—,The guys talk influencers and current indie favorites.
234,With Kyle M.,03/29/2025,Kyle Mooney,1998,The SNL alum joins TC to talk his album The Real Me.
235,With Dave Longstreth,04/12/2025,Dave Longstreth,—,"The crew talk millennial cringe, Fun., and sports."
236,Rush to Alabama,04/26/2025,—,—,"The Crisis Crew talk Skynyrd, Katy Perry, and Rush."
237,All About Bands,05/10/2025,—,—,"The guys talk Gorillaz, Counting Crows, and more."
238,The Final Twisting,05/24/2025,—,—,"Ezra recaps Just Like Heaven, plus Rock Hall talk."
239,(T)C Is for Cookie,07/19/2025,—,2003,"Summer in the city, Insomnia cookies, and the weird energy of 2003."
240,Bruce and Al,08/02/2025,,,The guys talk Weird Al and Springsteen's lost albums.
241,Cosmic TC,08/16/2025,,1969,"The guys talk CSNY, GD60, and the hits of '69."
242,Cosmic TC Pt. II,08/30/2025,,,The Crisis Crew explore the world of Cosmic Americana.
243,With John Fogerty,09/13/2025,John Fogerty,,"The CCR frontman talks legacy, Taco Bell, and more."
244,Rip Van Winkeled,09/27/2025,,1982,"The Crisis Crew talk NRBQ, Bluey, and the hits of '82."
245,Super Blue,01/31/2026,,1967,"The Crew talk Super Bowl, Bob Weir, and he hits of '67."
246,The Past is the Future,02/14/2026,,2014,"The TC Crew talk chocolate, nutrition, and the hits of '14."
247,Chocolate Talk,02/27/2026,,1984,"Plus the TC Crew talk Ween, memes, and the hits of '94."
248,Beantown Prometheus,03/14/2026,,1976,"The TC Crew talk Boston, the Rock Hall, and 1976 hits."
249,It's Bruce Hornsby,03/28/2026,Bruce Hornsby,1986,Bruce and the guys talk Indigo Park and the hits of '86.
250,Red Hot Gen-X Challenge,04/12/2026,,,Rashida Jones joins the guys for a rock vs R&B Top 5.
251,TC Earth Day Special,04/26/2026,,1970,"The Crew talk Zeppelin, American cheese, and hits of 1970."
252,Is it Steak?,05/10/2026,,,"The guys talk Dire Straits, 2hollis, and half-baked ideas."
